"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.997127058028003
"2","0","0",0.997389697631712
"3","0","0",0.999999998454815
"4","0","0",0.998656776786469
"10","0","0",0.999625785600841
"12","0","0",0.995720346599737
"1","1","0",0.96028558999383
"2","1","0",0.963793922771067
"3","1","0",0.99999997782049
"4","1","0",0.981059192205627
"10","1","0",0.99465525516726
"12","1","0",0.941891023675428
"1","0","1",0.791251212372042
"2","0","1",0.806685866147429
"3","0","1",0.999999858513902
"4","0","1",0.890346114838681
"10","0","1",0.966857981788675
"12","0","1",0.717589652785791
"1","1","1",0.208904574226749
"2","1","1",0.22523644844201
"3","1","1",0.999997969119835
"4","1","1",0.361295987377965
"10","1","1",0.670229829888492
"12","1","1",0.150397316720579
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
