"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.997211087580872
"2","0","0",0.998770758908987
"3","0","0",0.999999999387603
"4","0","0",0.989803717387707
"5","0","0",0.831171464156179
"10","0","0",0.996084173283479
"12","0","0",0.999999998384379
"1","1","0",0.985680914559592
"2","1","0",0.993647644233124
"3","1","0",0.999999996818995
"4","1","0",0.949209108457598
"5","1","0",0.486598489952227
"10","1","0",0.979988503752449
"12","1","0",0.999999991607902
"1","0","1",0.845576358110574
"2","0","1",0.92561033124458
"3","0","1",0.999999960010459
"4","0","1",0.597844394527793
"5","0","1",0.070107478035954
"10","0","1",0.795729345232678
"12","0","1",0.999999894499986
"1","1","1",0.513183782565095
"2","1","1",0.705486936530791
"3","1","1",0.999999792280389
"4","1","1",0.222513249677435
"5","1","1",0.014306789885954
"10","1","1",0.428552805782186
"12","1","1",0.999999451996312
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
