"burst_date_mother","position_mother_L","nature_mother_V","probas"
"2","0","0",3.26730082733765
"3","0","0",0.694678620821464
"10","0","0",3.792992896477
"12","0","0",2.51280385988083
"2","1","0",1.43602633634949
"3","1","0",0.305321379179962
"10","1","0",1.66707566299178
"12","1","0",1.10441392193747
"2","0","1",1.72280883013115
"3","0","1",0.366295766842429
"10","0","1",2
"12","0","1",1.32497156122532
"2","1","1",0.757199591743657
"3","1","1",0.160992328492653
"10","1","1",0.87902915111715
"12","1","1",0.582344313359128
"1","0","0",0
"4","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"1","1","0",0
"4","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"1","0","1",0
"4","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"1","1","1",0
"4","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
